SDOH Category,Category,Product,Field Name,Field Description,Field Definition,PeopleCore Pop. Type,Opt-In State Pop. Type,Range,Var. Type,Added,Length
#N/A,People,DemoIQ,AIQ_HHID,Unique Household ID,This element is a unique household identifier.,Household,Household,,Char,2q09,9
#N/A,People,DemoIQ,AIQ_INDID,Unique Individual ID. Designed for Financial Services Advertising (FSA),This element is a unique individual identifier. Designed for Financial Services Advertising (FSA),Individual,Individual,,Char,2q09,2
#N/A,People,DemoIQ,PERSON_FIRST_NAME,Person Name (First),This element is an individual's first name.,Individual,Individual,,Char,2q09,30
#N/A,People,DemoIQ,PERSON_LAST_NAME,Person Name (Last). Designed for Financial Services Advertising (FSA),This element is an individual's last name. Designed for Financial Services Advertising (FSA),Individual,Individual,,Char,2q09,32
#N/A,People,DemoIQ,PERSON_SURNAME_SUFFIX,Person Name (Suffix),This element is an individual's name suffix.,Individual,Individual,,Char,2q09,6
#N/A,People,HousingIQ,PRIMARY_ADDRESS,Primary Street Address,This element indicates the household's primary street address.,Household,Household,,Char,2q09,32
#N/A,People,DemoIQ,SECONDARY_ADDRESS,Secondary Street Address,This element provides a household's secondary street address if available.,Household,Household,,Char,2q09,12
"Geography (e.g., urban vs rural)",People,DemoIQ,CITY,City Name,This element provides the household's city name.,Household,Household,,Char,1q07,30
"Geography (e.g., urban vs rural)",People,DemoIQ,STATE,State Name,This element indicates a household's state name.,Household,Household,,Char,2q09,2
"Geography (e.g., urban vs rural)",People,HousingIQ,ZIP5,Zip Code (5-Digit),This element indicates the household's 5-digit Zip Code.,Zip Code,Zip Code,,Char,1q07,5
"Geography (e.g., urban vs rural)",People,HousingIQ,ZIP4,Zip Code Extension (4-Digit),This element indicates the household's Zip Code Extension (4-digit) or Zip+4.,Zip+4,Zip+4,,Char,1q07,4
#N/A,#N/A,#N/A,PHONE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
#N/A,#N/A,#N/A,EM_EMAIL_6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
